STREET_NAME_EN,STREET_NAME_TC,STREET_CODE,STREET_CENTRELINE_ID
FU MEI STREET,富美街,10523,1810262893
FU MEI STREET,富美街,10523,1810262895
FU MEI STREET,富美街,10523,1810262896
CHEUNG SHUN STREET,長順街,10212,1810263607
CHEUNG SHA WAN PATH,長沙灣徑,10205,1810263609
CHEUNG SHUN STREET,長順街,10212,1810263618
WING TING ROAD,永定道,12745,1810263630
CHUNG YIN LANE,忠賢里,13031,1810263632
LUNG MUN ROAD,龍門路,11316,1810260310
HO FUK STREET,浩福街,10748,1810260319
SHEK PAI STREET,石排街,12009,1810260919
TONG YIN STREET,唐賢街,13874,1810267983
SHANGHAI STREET,上海街,11984,1810268660
LUNG CHI PATH,龍池徑,11309,1810263799
LOK SIN ROAD,樂善道,11266,1810264473
YEN CHOW STREET,欽州街,12852,1810264475
SHEK KIP MEI STREET,石硤尾街,11995,1810264476
SHAM MONG ROAD,深旺道,13892,1810264481
SHEK LUNG STREET,石龍街,12002,1810267587
PRINCESS MARGARET ROAD,公主道,11791,1810267596
LAI CHEUNG ROAD,麗翔道,13924,1810267601
LAI CHEUNG ROAD,麗翔道,13924,1810267603
YAU MA TEI INTERCHANGE,油麻地交匯處,14449,1810267616
SHEK LUNG STREET,石龍街,12002,1810267620
MAN MING LANE,文明里,11377,1810267623
MAN MING LANE,文明里,11377,1810267625
FUNG LAI ROAD,鳳禮道,10573,1810262403
KIU HA ROAD,橋下路,13914,1810255989
WAN SHAN ROAD,環山路,13916,1810257455
HIP YAN STREET,協欣街,10740,1810257459
WAN SHAN ROAD,環山路,13916,1810257472
HIP YAN STREET,協欣街,10740,1810257477
HIP YAN STREET,協欣街,10740,1810257479
TATE'S CAIRN HIGHWAY,大老山公路,13137,1810257486
TATE'S CAIRN HIGHWAY,大老山公路,13137,1810257487
HIP YAN STREET,協欣街,10740,1810257492
CARMEL AVENUE,卡米爾徑,39286,1810249861
CORONADO AVENUE,嘉拿多徑,39284,1810249863
SAN TAM ROAD,新潭路,13605,1810250499
"FAIRVIEW PARK SECTION E, 2ND STREET",錦綉花園Ｅ段第二街,39118,1810250510
