Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,113.96929,22.41267,830387,814895,1489530387T20170828,,屯門區,新界,,,,,,,,,,,屯門,小坑村,118,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,SIU HANG TSUEN,118,,,,,,1489530387T20170828
Point,113.98254,22.41718,830884,816259,1625930884T20050430,,屯門區,新界,,,,,,座,7,盈溢居,,,屯門,桃園圍,124,,,,,,,TUEN MUN DISTRICT,NT,,,,,,BLK,7,Y,OPULENT VILLA,,,TUEN MUN,TO YUEN WAI,124,,,,,,1625930884T20050430
Point,113.98258,22.41741,830910,816264,1626430909T20050430,,屯門區,新界,,,,,,座,20,盈溢居,,,屯門,桃園圍,112,,,,,,,TUEN MUN DISTRICT,NT,,,,,,BLK,20,Y,OPULENT VILLA,,,TUEN MUN,TO YUEN WAI,112,,,,,,1626430909T20050430
Point,113.97892,22.40338,829357,815885,1588529349P20080331,金邦商場,屯門區,新界,,,,,,,,,,,,,,,屯門,青翠徑,7,,COMMON BOND SHOPPING ARCADE,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,,,,TUEN MUN,TSING CHUI PATH,7,,1588529349P20080331
Point,113.98548,22.41285,830404,816562,1656330408T20050430,健泰樓,屯門區,新界,,,,,,,,富泰邨,,,,,,,屯門,屯貴路,9,,KIN TAI HSE,TUEN MUN DISTRICT,NT,,,,,,,,,FU TAI ESTATE,,,,,,,TUEN MUN,TUEN KWAI ROAD,9,,1656330408T20050430
Point,113.997,22.37018,825678,817743,1774425680T20050430,,屯門區,新界,,,,,,,,,,,,,,,屯門,嘉才里,53,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,,,,TUEN MUN,KA CHOI LANE,53,,1774425680T20050430
Point,113.97804,22.39804,828766,815794,1579528766T20050430,,屯門區,新界,,,,,,,,,,,屯門,良田村,83,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,LEUNG TIN VILLAGE,83,,,,,,1579528766T20050430
Point,113.97898,22.40073,829063,815891,1589429062T20050430,,屯門區,新界,,,,,,,,,,,屯門,新墟村,49,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,SAN HUI VILLAGE,49,,,,,,1589429062T20050430
Point,113.98333,22.41583,830735,816340,1634030735T20050430,,屯門區,新界,,,,,,,,,,,屯門,桃園圍,58,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,TO YUEN WAI,58,,,,,,1634030735T20050430
Point,113.98313,22.41738,830907,816321,1632130908T20050430,,屯門區,新界,,,,,,,,,,,屯門,屯門新村,67,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,TUEN MUN SAN TSUEN,67,,,,,,1632130908T20050430
Point,113.99252,22.42127,831337,817287,1728831337T20050430,,屯門區,新界,,,,,,,,,,,屯門,菜園村,284,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,TSOI YUEN TSUEN,284,,,,,,1728831337T20050430
Point,113.97238,22.41411,830547,815213,1521330547T20051027,,屯門區,新界,,,,,,,,,,,屯門,小坑村,235,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,TUEN MUN,SIU HANG TSUEN,235,,,,,,1521330547T20051027
