Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.03051,22.20875,807799,821176,2119107803T20050430,海事處長洲海事分處,離島區,新界,,,,,,,,,,,,,,,,東灣路,86,,MARINE DEPARTMENT CHEUNG CHAU MARINE OFFICE,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,TUNG WAN ROAD,86,,2119107803T20050430
Point,114.03033,22.2086,807782,821158,2115807784T20050430,,離島區,新界,,,,,,,,,,,,,,,,警署徑,2,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,POLICE STATION PATH,2,,2115807784T20050430
Point,114.03013,22.20366,807235,821137,2113507237T20050430,,離島區,新界,,,,,,,,,,,,,,,,長洲山頂道,26B,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,CHEUNG CHAU PEAK ROAD,26B,,2113507237T20050430
Point,113.99214,22.2685,814420,817228,1722914421T20050430,畔溪小築,離島區,新界,,,,,,,,,,,,新龍圍,23,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,SUN LUNG WAI,23,,,,,,1722914421T20050430
Point,113.90548,22.2583,813303,808294,0829413303T20050430,,離島區,新界,,,,,,,,,,,,昂坪村,49,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,NGONG PING TSUEN,49,,,,,,0829413303T20050430
Point,113.97688,22.24483,811800,815651,1565111801T20050430,雅景居,離島區,新界,,,,,,,,貝澳新圍村,,,,貝澳新圍村,87,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,PUI O SAN WAI TSUEN,,,,PUI O SAN WAI TSUEN,87,,,,,,1565111801T20050430
Point,114.11832,22.22143,809196,830231,3023409194T20050430,菠蘿山莊,離島區,新界,,,,,,,,龍仔村,,,,龍仔村,39,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,LONG TSAI TSUEN,,,,LONG TSAI TSUEN,39,,,,,,3023409194T20050430
Point,114.03206,22.20573,807464,821336,2133607464T20050430,,離島區,新界,,,,,,,,,,,,,,,,長洲山頂道,1C,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,CHEUNG CHAU PEAK ROAD,1C,,2133607464T20050430
Point,114.00139,22.26311,813821,818181,1817713821T20050430,前新界鄉議局南約區中學,離島區,新界,,,,,,,,,,,,,,,,梅窩碼頭路,18,,FORMER NT HEUNG YEE KUK SOUTHERN DISTRICT SECONDARY SCHOOL,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,MUI WO FERRY PIER ROAD,18,,1817713821T20050430
Point,114.03944,22.2842,816153,822105,2210616154T20050430,,離島區,新界,,,,,,,,,,,,,,,,圍仔街,10,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,WAI TSAI STREET,10,,2210616154T20050430
Point,114.04015,22.2851,816253,822178,2217816253T20050430,,離島區,新界,,,,,,,,龍母廟,,,,,,,,志仁街,15,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,CHI YAN STREET,15,,2217816253T20050430
Point,113.9064,22.25631,813083,808389,0838813081T20050430,了塵療養院,離島區,新界,,,,,,,,,,,,昂坪村,20,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,NGONG PING TSUEN,20,,,,,,0838813081T20050430
Point,113.86683,22.25308,812733,804309,0430712738T20050430,,離島區,新界,,,,,,,,天利苑,,,,,,,,龍田街,8,,,ISLANDS DISTRICT,NT,,,,,,,,,TIN LEE COURT,,,,,,,,LUNG TIN STREET,8,,0430712738T20050430
Point,113.99795,22.26117,813607,817826,1782213602T20050430,,離島區,新界,,,,,,,,,,,,灣仔,1,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,WAN TSAI,1,,,,,,1782213602T20050430
Point,113.99726,22.25877,813341,817754,1775413342T20050430,,離島區,新界,,,,,,,,,,,,荔枝園村,12,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,LAI CHI YUEN TSUEN,12,,,,,,1775413342T20050430
Point,114.029,22.21072,808017,821020,2102008018T20080414,,離島區,新界,,,,,,,,,,,,,,,,新興後街,15,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,SAN HING BACK STREET,15,,2102008018T20080414
