Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.15842,22.26829,814385,834366,3436714386T20200609,,中西區,香港,,,,,,,,,,,,,,,,普樂道,8A,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,POLLOCK'S PATH,8A,,3436714386T20200609
Point,114.14321,22.28745,816506,832799,3279916507T20221118,,中西區,香港,,,,,,,,,,,,,,,,梅芳街,10,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,MUI FONG STREET,10,,3279916507T20221118
Point,114.15205,22.28152,815850,833709,3371115852T20230116,,中西區,香港,,,,,,,,,,,,,,,,堅道,73,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,CAINE ROAD,73,,3371115852T20230116
Point,114.15661,22.26828,814383,834179,3420414393T20050430,,中西區,香港,,,,,,,,,,,,,,,,種植道,43,45,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,PLANTATION ROAD,43,45,3417814383T20050430
Point,114.14058,22.28584,816328,832527,3252816328T20210720,,中西區,香港,,,,,,,,,,,,,,,,西邊街,13,17,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,WESTERN STREET,13,17,3252816328T20210720
Point,114.14925,22.25966,813429,833421,3341613427T20050430,,中西區,香港,,,,,,,,明德國際醫院,,,,,,,,加列山道,41,,MATILDA INTERNATIONAL HOSPITAL GRANVILLE HOUSE,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,MATILDA INTERNATIONAL HOSPITAL,,,,,,,,MOUNT KELLETT ROAD,41,,3341613427T20050430
Point,114.15494,22.26491,814011,834007,3400414021T20050430,,中西區,香港,,,,,,,,,,,,,,,,山頂道,86,88,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,PEAK ROAD,86,88,3400714011T20050430
Point,114.11806,22.2789,815560,830207,3020615559T20050430,喜居,中西區,香港,,,,,,,,,,,,,,,,域多利道,405,406,JOYFUL HOUSE,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,VICTORIA ROAD,405,406,3020615559T20050430
Point,114.15616,22.26697,814239,834133,3413014235T20050430,,中西區,香港,,,,,,,,,,,,,,,,歌賦山道,28,,GOUGH HILL ROAD HOUSE 6,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,28 GOUGH HILL ROAD,,,,,,,,GOUGH HILL ROAD,28,,3413014235T20050430
Point,114.13012,22.28271,815982,831450,3145015983T20230413,,中西區,香港,,,,,,,,,,,,,,,,卑路乍街,38,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,BELCHER'S STREET,38,,3145015983T20230413
Point,114.14297,22.28072,815761,832774,3277415762T20230317,寶峰,中西區,香港,,,,,,,,,,,,,,,,寶珊道,23,,HIGH PEAK,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,PO SHAN ROAD,23,,3277415762T20230317
