Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.17703,22.36658,825269,836284,3626825283T20050430,學心樓,沙田區,新界,室,201,,2,2樓,,,隆亨邨,,,,,,,沙田 大圍,田心街,1,,HOK SAM HSE,SHA TIN DISTRICT,NT,FLAT,201,,2,2/F,,,,LUNG HANG ESTATE,,,,,,,"TAI WAI, SHA TIN",TIN SAM STREET,1,,3626825283T20050430
Point,114.17457,22.36542,825140,836031,3604525130T20050430,顯沛樓,沙田區,新界,室,201,,2,2樓,座,1,顯徑邨,,,,,,,沙田,車公廟路,69,,HIN PUI HSE,SHA TIN DISTRICT,NT,FLAT,201,,2,2/F,BLK,1,Y,HIN KENG ESTATE,,,,,,,SHA TIN,CHE KUNG MIU ROAD,69,,3604525130T20050430
Point,114.18233,22.36924,825563,836829,3683225554T20050430,新學樓,沙田區,新界,室,204,,2,2樓,,,新翠邨,,,,,,,沙田,翠田街,2,,SUN HOK HSE,SHA TIN DISTRICT,NT,FLAT,204,,2,2/F,,,,SUN CHUI ESTATE,,,,,,,SHA TIN,CHUI TIN STREET,2,,3683225554T20050430
Point,114.17309,22.36395,824978,835879,3589024976T20050430,顯慶樓,沙田區,新界,室,201,,2,2樓,座,4,顯徑邨,,,,,,,沙田,車公廟路,69,,HIN HING HSE,SHA TIN DISTRICT,NT,FLAT,201,,2,2/F,BLK,4,Y,HIN KENG ESTATE,,,,,,,SHA TIN,CHE KUNG MIU ROAD,69,,3589024976T20050430
Point,114.19567,22.38993,827854,838204,3820827862T20050430,民和樓,沙田區,新界,室,201,,2,2樓,,,禾輋邨,,,,,,,沙田,協欣街,7,,MAN WO HSE,SHA TIN DISTRICT,NT,FLAT,201,,2,2/F,,,,WO CHE ESTATE,,,,,,,SHA TIN,HIP YAN STREET,7,,3820827862T20050430
Point,114.18313,22.36924,825564,836912,3691525554T20050430,新俊樓,沙田區,新界,室,204,,2,2樓,,,新翠邨,,,,,,,沙田,翠田街,2,,SUN CHUN HSE,SHA TIN DISTRICT,NT,FLAT,204,,2,2/F,,,,SUN CHUI ESTATE,,,,,,,SHA TIN,CHUI TIN STREET,2,,3691525554T20050430
Point,114.2274,22.42349,831571,841470,4146831568T20050430,頌平樓,沙田區,新界,室,101,,1,1樓,,,頌安邨,,,,,,,馬鞍山,西沙路,632,,CHUNG PING HSE,SHA TIN DISTRICT,NT,FLAT,101,,1,1/F,,,,CHUNG ON ESTATE,,,,,,,MA ON SHAN,SAI SHA ROAD,632,,4146831568T20050430
Point,114.22602,22.42264,831477,841328,4132631485T20050430,頌智樓,沙田區,新界,室,101,,1,1樓,,,頌安邨,,,,,,,馬鞍山,西沙路,632,,CHUNG CHI HSE,SHA TIN DISTRICT,NT,FLAT,101,,1,1/F,,,,CHUNG ON ESTATE,,,,,,,MA ON SHAN,SAI SHA ROAD,632,,4132631485T20050430
Point,114.22956,22.41701,830854,841693,4172430880T20050430,恒江樓,沙田區,新界,室,201,,2,2樓,座,1,恒安邨,,,,,,,馬鞍山,恆錦街,1,,HENG KONG HSE,SHA TIN DISTRICT,NT,FLAT,201,,2,2/F,BLK,1,Y,HENG ON ESTATE,,,,,,,MA ON SHAN,HANG KAM STREET,1,,4172430880T20050430
Point,114.22675,22.42401,831629,841403,4140331640T20050430,頌群樓,沙田區,新界,室,103,,1,1樓,,,頌安邨,,,,,,,馬鞍山,西沙路,632,,CHUNG KWAN HSE,SHA TIN DISTRICT,NT,FLAT,103,,1,1/F,,,,CHUNG ON ESTATE,,,,,,,MA ON SHAN,SAI SHA ROAD,632,,4140331640T20050430
