Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.12294,22.5099,841140,830719,3071841141T20050430,,北區,新界,,,,,,,,,,,,圍內村第一巷,39A,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,WAI LOI TSUEN LANE 1,39A,,,,,,3071841141T20050430
Point,114.12207,22.5099,841141,830629,3062841142T20050430,,北區,新界,,,,,,,,,,,,圍內村第十一巷,27,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,WAI LOI TSUEN LANE 11,27,,,,,,3062841142T20050430
Point,114.15898,22.51557,841767,834427,3443041767T20050430,,北區,新界,,,,,,,,,,,,軍地北,168,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,KWAN TEI NORTH,168,,,,,,3443041767T20050430
Point,114.1727,22.51558,841768,835838,3583841769T20050430,,北區,新界,,,,,,,,,,,,簡頭村,15,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,KAN TAU TSUEN,15,,,,,,3583841769T20050430
Point,114.17424,22.51929,842180,835997,3599742181T20050430,,北區,新界,,,,,,,,,,,,白田新村,6,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PAK TIN NEW VILLAGE,6,,,,,,3599742181T20050430
Point,114.12621,22.5072,840842,831055,3105540842T20050430,,北區,新界,,,,,,,,,,,,莆上村第二十巷,1,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PO SHEUNG TSUEN LANE NO.20,1,,,,,,3105540842T20050430
Point,114.11074,22.52766,843107,829465,2946543108T20050430,,北區,新界,,,,,,,,,,,,得月樓,11,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,TAK YUET LAU,11,,,,,,2946543108T20050430
Point,114.16295,22.53446,843859,834836,3483643860T20050430,,北區,新界,,,,,,,,,,,,坪洋,126,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PING YEUNG,126,,,,,,3483643860T20050430
Point,114.12535,22.50869,841006,830966,3096841006T20050430,,北區,新界,,,,,,,,,,,,莆上村第十五巷,1,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PO SHEUNG TSUEN LANE NO.15,1,,,,,,3096841006T20050430
Point,114.14979,22.50695,840813,833482,3348240813T20050430,,北區,新界,,,,,,,,,,,,新圍,81A,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,SAN WAI,81A,,,,,,3348240813T20050430
